from,to,cost
2_9,3_9,1
2_10,2_11,1
2_10,3_10,1
2_11,2_12,1
2_11,3_11,1
2_12,2_13,1
2_12,3_12,1
2_13,2_14,1
2_13,3_13,1
2_14,2_15,1
2_14,3_14,1
2_15,2_16,1
2_15,3_15,1
2_16,2_17,1
2_16,3_16,1
2_17,2_18,1
2_17,3_17,1
2_18,2_19,1
2_18,3_18,1
2_19,2_20,1
2_19,3_19,1
2_20,2_21,1
2_20,3_20,1
2_21,2_22,1
2_21,3_21,1
2_22,2_23,1
2_22,3_22,1
2_23,2_24,1
2_23,3_23,1
2_24,2_25,1
2_24,3_24,1
2_25,2_26,1
2_25,3_25,1
2_26,2_27,1
2_26,3_26,1
2_27,2_28,1
2_27,3_27,1
2_28,2_29,1
2_28,3_28,1
2_29,2_30,1
2_29,3_29,1
2_30,2_31,1
2_30,3_30,1
2_31,2_32,1
2_31,3_31,1
2_32,2_33,1
2_32,3_32,1
2_33,2_34,1
2_33,3_33,1
2_34,2_35,1
2_34,3_34,1
2_35,2_36,1
2_35,3_35,1
2_36,2_37,1
2_36,3_36,1
2_37,2_38,1
2_37,3_37,1
2_38,2_39,1
2_38,3_38,1
2_39,2_40,1
2_39,3_39,1
2_40,2_41,1
2_40,3_40,1
2_41,2_42,1
2_41,3_41,1
2_42,2_43,1
2_42,3_42,1
2_43,2_44,1
2_43,3_43,1
2_44,2_45,1
2_44,3_44,1
2_45,2_46,1
2_45,3_45,1
2_46,2_47,1
2_46,3_46,1
2_47,2_48,1
2_47,3_47,1
2_48,2_49,1
2_48,3_48,1
2_49,2_50,1
2_49,3_49,1
2_50,2_51,1
2_50,3_50,1
2_51,2_52,1
2_51,3_51,1
2_52,2_53,1
2_52,3_52,1
2_53,2_54,1
2_53,3_53,1
2_54,2_55,1
2_54,3_54,1
2_55,2_56,1
2_55,3_55,1
2_56,2_57,1
2_56,3_56,1
2_57,2_58,1
2_57,3_57,1
2_58,2_59,1
2_58,3_58,1
2_59,2_60,1
2_59,3_59,1
2_60,2_61,1
2_60,3_60,1
2_61,2_62,1
2_61,3_61,1
2_62,2_63,1
2_62,3_62,1
2_63,2_64,1
2_63,3_63,1
2_64,2_65,1
2_64,3_64,1
2_65,2_66,1
2_65,3_65,1
2_66,2_67,1
2_66,3_66,1
2_67,2_68,1
2_67,3_67,1
2_68,2_69,1
2_68,3_68,1
2_69,2_70,1
2_69,3_69,1
2_70,2_71,1
2_70,3_70,1
2_71,2_72,1
2_71,3_71,1
2_72,2_73,1
2_72,3_72,1
2_73,2_74,1
2_73,3_73,1
2_74,2_75,1
2_74,3_74,1
2_75,2_76,1
2_75,3_75,1
2_76,2_77,1
2_76,3_76,1
2_77,2_78,1
2_77,3_77,1
2_78,3_78,1
3_1,3_2,1
3_1,4_1,1
3_2,3_3,1
3_2,4_2,1
3_3,3_4,1
3_3,4_3,1
3_4,3_5,1
3_4,4_4,1
3_5,3_6,1
3_5,4_5,1
3_6,3_7,1
3_6,4_6,1
3_7,3_8,1
3_7,4_7,1
3_8,3_9,1
3_8,4_8,1
3_9,3_10,1
3_9,4_9,1
3_10,3_11,1
3_10,4_10,1
3_11,3_12,1
3_11,4_11,1
3_12,3_13,1
3_12,4_12,1
3_13,3_14,1
3_13,4_13,1
3_14,3_15,1
3_14,4_14,1
3_15,3_16,1
3_15,4_15,1
3_16,3_17,1
3_16,4_16,1
3_17,3_18,1
3_17,4_17,1
3_18,3_19,1
3_18,4_18,1
3_19,3_20,1
3_19,4_19,1
3_20,3_21,1
3_21,3_22,1
3_22,3_23,1
3_23,3_24,1
3_24,3_25,1
3_25,3_26,1
3_25,4_25,1
3_26,3_27,1
3_26,4_26,1
3_27,3_28,1
3_27,4_27,1
3_28,3_29,1
3_28,4_28,1
3_29,3_30,1
3_29,4_29,1
3_30,3_31,1
3_30,4_30,1
3_31,3_32,1
3_31,4_31,1
3_32,3_33,1
3_32,4_32,1
3_33,3_34,1
3_33,4_33,1
3_34,3_35,1
3_34,4_34,1
3_35,3_36,1
3_35,4_35,1
3_36,3_37,1
3_36,4_36,1
3_37,3_38,1
3_37,4_37,1
3_38,3_39,1
3_38,4_38,1
3_39,3_40,1
3_39,4_39,1
3_40,3_41,1
3_40,4_40,1
3_41,3_42,1
3_41,4_41,1
3_42,3_43,1
3_42,4_42,1
3_43,3_44,1
3_43,4_43,1
3_44,3_45,1
3_44,4_44,1
3_45,3_46,1
3_45,4_45,1
3_46,3_47,1
3_46,4_46,1
3_47,3_48,1
3_47,4_47,1
3_48,3_49,1
3_48,4_48,1
3_49,3_50,1
3_49,4_49,1
3_50,3_51,1
3_50,4_50,1
3_51,3_52,1
3_51,4_51,1
3_52,3_53,1
3_52,4_52,1
3_53,3_54,1
3_53,4_53,1
3_54,3_55,1
3_54,4_54,1
3_55,3_56,1
3_55,4_55,1
3_56,3_57,1
3_56,4_56,1
3_57,3_58,1
3_57,4_57,1
3_58,3_59,1
3_58,4_58,1
3_59,3_60,1
3_59,4_59,1
3_60,3_61,1
3_60,4_60,1
3_61,3_62,1
3_61,4_61,1
3_62,3_63,1
3_62,4_62,1
3_63,3_64,1
3_63,4_63,1
3_64,3_65,1
3_64,4_64,1
3_65,3_66,1
3_65,4_65,1
3_66,3_67,1
3_66,4_66,1
3_67,3_68,1
3_67,4_67,1
3_68,3_69,1
3_68,4_68,1
3_69,3_70,1
3_69,4_69,1
3_70,3_71,1
3_70,4_70,1
3_71,3_72,1
3_71,4_71,1
3_72,3_73,1
3_72,4_72,1
3_73,3_74,1
3_73,4_73,1
3_74,3_75,1
3_74,4_74,1
3_75,3_76,1
3_75,4_75,1
3_76,3_77,1
3_76,4_76,1
3_77,3_78,1
3_77,4_77,1
3_78,4_78,1
4_1,4_2,1
4_1,5_1,1
4_2,4_3,1
4_2,5_2,1
4_3,4_4,1
4_3,5_3,1
4_4,4_5,1
4_4,5_4,1
4_5,4_6,1
4_5,5_5,1
4_6,4_7,1
4_6,5_6,1
4_7,4_8,1
4_7,5_7,1
4_8,4_9,1
4_8,5_8,1
4_9,4_10,1
4_9,5_9,1
4_10,4_11,1
4_10,5_10,1
4_11,4_12,1
4_11,5_11,1
4_12,4_13,1
4_12,5_12,1
4_13,4_14,1
4_13,5_13,1
4_14,4_15,1
4_14,5_14,1
4_15,4_16,1
4_15,5_15,1
4_16,4_17,1
4_16,5_16,1
4_17,4_18,1
4_17,5_17,1
4_18,4_19,1
4_18,5_18,1
4_19,5_19,1
4_25,4_26,1
4_25,5_25,1
4_26,4_27,1
4_26,5_26,1
4_27,4_28,1
4_27,5_27,1
4_28,4_29,1
4_28,5_28,1
4_29,4_30,1
4_29,5_29,1
4_30,4_31,1
4_30,5_30,1
4_31,4_32,1
4_31,5_31,1
4_32,4_33,1
4_32,5_32,1
4_33,4_34,1
4_33,5_33,1
4_34,4_35,1
4_34,5_34,1
4_35,4_36,1
4_35,5_35,1
4_36,4_37,1
4_36,5_36,1
4_37,4_38,1
4_37,5_37,1
4_38,4_39,1
4_38,5_38,1
4_39,4_40,1
4_39,5_39,1
4_40,4_41,1
4_40,5_40,1
4_41,4_42,1
4_41,5_41,1
4_42,4_43,1
4_42,5_42,1
4_43,4_44,1
4_43,5_43,1
4_44,4_45,1
4_44,5_44,1
4_45,4_46,1
4_45,5_45,1
4_46,4_47,1
4_46,5_46,1
4_47,4_48,1
4_47,5_47,1
4_48,4_49,1
4_48,5_48,1
4_49,4_50,1
4_49,5_49,1
4_50,4_51,1
4_50,5_50,1
4_51,4_52,1
4_51,5_51,1
4_52,4_53,1
4_52,5_52,1
4_53,4_54,1
4_53,5_53,1
4_54,4_55,1
4_54,5_54,1
4_55,4_56,1
4_55,5_55,1
4_56,4_57,1
4_56,5_56,1
4_57,4_58,1
4_57,5_57,1
4_58,4_59,1
4_58,5_58,1
4_59,4_60,1
4_59,5_59,1
4_60,4_61,1
4_60,5_60,1
4_61,4_62,1
4_61,5_61,1
4_62,4_63,1
4_62,5_62,1
4_63,4_64,1
4_63,5_63,1
4_64,4_65,1
4_64,5_64,1
4_65,4_66,1
4_65,5_65,1
4_66,4_67,1
4_66,5_66,1
4_67,4_68,1
4_67,5_67,1
4_68,4_69,1
4_68,5_68,1
4_69,4_70,1
4_69,5_69,1
4_70,4_71,1
4_70,5_70,1
4_71,4_72,1
4_71,5_71,1
4_72,4_73,1
4_72,5_72,1
4_73,4_74,1
4_73,5_73,1
4_74,4_75,1
4_74,5_74,1
4_75,4_76,1
4_75,5_75,1
4_76,4_77,1
4_76,5_76,1
4_77,4_78,1
4_77,5_77,1
4_78,5_78,1
5_1,5_2,1
5_1,6_1,1
5_2,5_3,1
5_2,6_2,1
5_3,5_4,1
5_3,6_3,1
5_4,5_5,1
5_4,6_4,1
5_5,5_6,1
5_5,6_5,1
5_6,5_7,1
5_6,6_6,1
5_7,5_8,1
5_7,6_7,1
5_8,5_9,1
5_8,6_8,1
5_9,5_10,1
5_9,6_9,1
5_10,5_11,1
5_10,6_10,1
5_11,5_12,1
5_11,6_11,1
5_12,5_13,1
5_12,6_12,1
5_13,5_14,1
5_13,6_13,1
5_14,5_15,1
5_14,6_14,1
5_15,5_16,1
5_15,6_15,1
5_16,5_17,1
5_16,6_16,1
5_17,5_18,1
5_17,6_17,1
5_18,5_19,1
5_18,6_18,1
5_19,6_19,1
5_21,5_22,1
5_21,6_21,1
5_22,5_23,1
5_22,6_22,1
5_23,5_24,1
5_23,6_23,1
5_24,5_25,1
5_24,6_24,1
5_25,5_26,1
5_25,6_25,1
5_26,5_27,1
5_26,6_26,1
5_27,5_28,1
5_27,6_27,1
5_28,5_29,1
5_28,6_28,1
5_29,5_30,1
5_29,6_29,1
5_30,5_31,1
5_30,6_30,1
5_31,5_32,1
5_31,6_31,1
5_32,5_33,1
5_32,6_32,1
5_33,5_34,1
5_33,6_33,1
5_34,5_35,1
5_34,6_34,1
5_35,5_36,1
5_35,6_35,1
5_36,5_37,1
5_36,6_36,1
5_37,5_38,1
5_37,6_37,1
5_38,5_39,1
5_38,6_38,1
5_39,5_40,1
5_39,6_39,1
5_40,5_41,1
5_40,6_40,1
5_41,5_42,1
5_41,6_41,1
5_42,5_43,1
5_42,6_42,1
5_43,5_44,1
5_43,6_43,1
5_44,5_45,1
5_44,6_44,1
5_45,5_46,1
5_45,6_45,1
5_46,5_47,1
5_46,6_46,1
5_47,5_48,1
5_47,6_47,1
5_48,5_49,1
5_48,6_48,1
5_49,5_50,1
5_49,6_49,1
5_50,5_51,1
5_50,6_50,1
5_51,5_52,1
5_51,6_51,1
5_52,5_53,1
5_52,6_52,1
5_53,5_54,1
5_53,6_53,1
5_54,5_55,1
5_54,6_54,1
5_55,5_56,1
5_55,6_55,1
5_56,5_57,1
5_56,6_56,1
5_57,5_58,1
5_57,6_57,1
5_58,5_59,1
5_58,6_58,1
5_59,5_60,1
5_59,6_59,1
5_60,5_61,1
5_60,6_60,1
5_61,5_62,1
5_61,6_61,1
5_62,5_63,1
5_62,6_62,1
5_63,5_64,1
5_63,6_63,1
5_64,5_65,1
5_64,6_64,1
5_65,5_66,1
5_65,6_65,1
5_66,5_67,1
5_66,6_66,1
5_67,5_68,1
5_67,6_67,1
5_68,5_69,1
5_68,6_68,1
5_69,5_70,1
5_69,6_69,1
5_70,5_71,1
5_70,6_70,1
5_71,5_72,1
5_71,6_71,1
5_72,5_73,1
5_72,6_72,1
5_73,5_74,1
5_73,6_73,1
5_74,5_75,1
5_74,6_74,1
5_75,5_76,1
5_75,6_75,1
5_76,5_77,1
5_76,6_76,1
5_77,5_78,1
5_77,6_77,1
5_78,6_78,1
6_1,6_2,1
6_1,7_1,1
6_2,6_3,1
6_2,7_2,1
6_3,6_4,1
6_3,7_3,1
6_4,6_5,1
6_4,7_4,1
6_5,6_6,1
6_5,7_5,1
6_6,6_7,1
6_6,7_6,1
6_7,6_8,1
6_7,7_7,1
6_8,6_9,1
6_8,7_8,1
6_9,6_10,1
6_9,7_9,1
6_10,6_11,1
6_10,7_10,1
6_11,6_12,1
6_11,7_11,1
6_12,6_13,1
6_12,7_12,1
6_13,6_14,1
6_13,7_13,1
6_14,6_15,1
6_14,7_14,1
6_15,6_16,1
6_15,7_15,1
6_16,6_17,1
6_16,7_16,1
6_17,6_18,1
6_17,7_17,1
6_18,6_19,1
6_18,7_18,1
6_19,7_19,1
6_21,6_22,1
6_21,7_21,1
6_22,6_23,1
6_22,7_22,1
6_23,6_24,1
6_23,7_23,1
6_24,6_25,1
6_24,7_24,1
6_25,6_26,1
6_25,7_25,1
6_26,6_27,1
6_26,7_26,1
6_27,6_28,1
6_27,7_27,1
6_28,6_29,1
6_28,7_28,1
6_29,6_30,1
6_29,7_29,1
6_30,6_31,1
6_30,7_30,1
6_31,6_32,1
6_31,7_31,1
6_32,6_33,1
6_32,7_32,1
6_33,6_34,1
6_33,7_33,1
6_34,6_35,1
6_34,7_34,1
6_35,6_36,1
6_35,7_35,1
6_36,6_37,1
6_36,7_36,1
6_37,6_38,1
6_37,7_37,1
6_38,6_39,1
6_38,7_38,1
6_39,6_40,1
6_39,7_39,1
6_40,6_41,1
6_40,7_40,1
6_41,6_42,1
6_41,7_41,1
6_42,6_43,1
6_42,7_42,1
6_43,6_44,1
6_43,7_43,1
6_44,6_45,1
6_44,7_44,1
6_45,6_46,1
6_45,7_45,1
6_46,6_47,1
6_46,7_46,1
6_47,6_48,1
6_47,7_47,1
6_48,6_49,1
6_48,7_48,1
6_49,6_50,1
6_49,7_49,1
6_50,6_51,1
6_50,7_50,1
6_51,6_52,1
6_51,7_51,1
6_52,6_53,1
6_52,7_52,1
6_53,6_54,1
6_53,7_53,1
6_54,6_55,1
6_55,6_56,1
6_55,7_55,1
6_56,6_57,1
6_56,7_56,1
6_57,6_58,1
6_57,7_57,1
6_58,6_59,1
6_58,7_58,1
6_59,6_60,1
6_60,6_61,1
6_61,6_62,1
6_62,6_63,1
6_63,6_64,1
6_63,7_63,1
6_64,6_65,1
6_64,7_64,1
6_65,6_66,1
6_65,7_65,1
6_66,6_67,1
6_66,7_66,1
6_67,6_68,1
6_67,7_67,1
6_68,6_69,1
6_68,7_68,1
6_69,6_70,1
6_69,7_69,1
6_70,6_71,1
6_70,7_70,1
6_71,6_72,1
6_71,7_71,1
6_72,6_73,1
6_72,7_72,1
6_73,6_74,1
6_73,7_73,1
6_74,6_75,1
6_74,7_74,1
6_75,6_76,1
6_75,7_75,1
6_76,6_77,1
6_76,7_76,1
6_77,6_78,1
6_77,7_77,1
6_78,7_78,1
7_1,7_2,1
7_1,8_1,1
7_2,7_3,1
7_2,8_2,1
7_3,7_4,1
7_3,8_3,1
7_4,7_5,1
7_4,8_4,1
7_5,7_6,1
7_5,8_5,1
7_6,7_7,1
7_6,8_6,1
7_7,7_8,1
7_7,8_7,1
7_8,7_9,1
7_8,8_8,1
7_9,7_10,1
7_9,8_9,1
7_10,7_11,1
7_10,8_10,1
7_11,7_12,1
7_11,8_11,1
7_12,7_13,1
7_12,8_12,1
7_13,7_14,1
7_13,8_13,1
7_14,7_15,1
7_14,8_14,1
7_15,7_16,1
7_15,8_15,1
7_16,7_17,1
7_16,8_16,1
7_17,7_18,1
7_17,8_17,1
7_18,7_19,1
7_18,8_18,1
7_19,8_19,1
7_21,7_22,1
7_21,8_21,1
7_22,7_23,1
7_22,8_22,1
7_23,7_24,1
7_23,8_23,1
7_24,7_25,1
7_24,8_24,1
7_25,7_26,1
7_25,8_25,1
7_26,7_27,1
7_27,7_28,1
7_27,8_27,1
7_28,7_29,1
7_28,8_28,1
7_29,7_30,1
7_29,8_29,1
7_30,7_31,1
7_30,8_30,1
7_31,7_32,1
7_31,8_31,1
7_32,7_33,1
7_32,8_32,1
7_33,7_34,1
7_33,8_33,1
7_34,7_35,1
7_34,8_34,1
7_35,7_36,1
7_35,8_35,1
7_36,7_37,1
7_36,8_36,1
7_37,7_38,1
7_37,8_37,1
7_38,7_39,1
7_38,8_38,1
7_39,7_40,1
7_39,8_39,1
7_40,7_41,1
7_40,8_40,1
7_41,7_42,1
7_41,8_41,1
7_42,7_43,1
7_42,8_42,1
7_43,7_44,1
7_43,8_43,1
7_44,7_45,1
7_44,8_44,1
7_45,7_46,1
7_45,8_45,1
7_46,7_47,1
7_46,8_46,1
7_47,7_48,1
7_47,8_47,1
7_48,7_49,1
7_48,8_48,1
7_49,7_50,1
7_49,8_49,1
7_50,7_51,1
7_50,8_50,1
7_51,7_52,1
7_51,8_51,1
7_52,7_53,1
7_52,8_52,1
7_53,8_53,1
7_55,7_56,1
7_55,8_55,1
7_56,7_57,1
7_56,8_56,1
7_57,7_58,1
7_57,8_57,1
7_58,8_58,1
7_63,7_64,1
7_63,8_63,1
7_64,7_65,1
7_64,8_64,1
7_65,7_66,1
7_65,8_65,1
7_66,7_67,1
7_66,8_66,1
7_67,7_68,1
7_67,8_67,1
7_68,7_69,1
7_68,8_68,1
7_69,7_70,1
7_69,8_69,1
7_70,7_71,1
7_70,8_70,1
7_71,7_72,1
7_71,8_71,1
7_72,7_73,1
7_72,8_72,1
7_73,7_74,1
7_73,8_73,1
7_74,7_75,1
7_74,8_74,1
7_75,7_76,1
7_75,8_75,1
7_76,7_77,1
7_76,8_76,1
7_77,7_78,1
7_77,8_77,1
7_78,8_78,1
8_1,8_2,1
8_1,9_1,1
8_2,8_3,1
8_2,9_2,1
8_3,8_4,1
8_3,9_3,1
8_4,8_5,1
8_4,9_4,1
8_5,8_6,1
8_5,9_5,1
8_6,8_7,1
8_6,9_6,1
8_7,8_8,1
8_7,9_7,1
8_8,8_9,1
8_8,9_8,1
8_9,8_10,1
8_9,9_9,1
8_10,8_11,1
8_10,9_10,1
8_11,8_12,1
8_11,9_11,1
8_12,8_13,1
8_12,9_12,1
8_13,8_14,1
8_13,9_13,1
8_14,8_15,1
8_14,9_14,1
8_15,8_16,1
8_15,9_15,1
8_16,8_17,1
8_16,9_16,1
8_17,8_18,1
8_17,9_17,1
8_18,8_19,1
8_18,9_18,1
8_19,9_19,1
8_21,8_22,1
8_21,9_21,1
8_22,8_23,1
8_22,9_22,1
8_23,8_24,1
8_23,9_23,1
8_24,8_25,1
8_24,9_24,1
8_25,9_25,1
8_27,8_28,1
8_27,9_27,1
8_28,8_29,1
8_28,9_28,1
8_29,8_30,1
8_29,9_29,1
8_30,8_31,1
8_30,9_30,1
8_31,8_32,1
8_31,9_31,1
8_32,8_33,1
8_32,9_32,1
8_33,8_34,1
8_33,9_33,1
8_34,8_35,1
8_34,9_34,1
8_35,8_36,1
8_35,9_35,1
8_36,8_37,1
8_36,9_36,1
8_37,8_38,1
8_37,9_37,1
8_38,8_39,1
8_38,9_38,1
8_39,8_40,1
8_39,9_39,1
8_40,8_41,1
8_40,9_40,1
8_41,8_42,1
8_41,9_41,1
8_42,8_43,1
8_42,9_42,1
8_43,8_44,1
8_43,9_43,1
8_44,8_45,1
8_44,9_44,1
8_45,8_46,1
8_45,9_45,1
8_46,8_47,1
8_46,9_46,1
8_47,8_48,1
8_47,9_47,1
8_48,8_49,1
8_48,9_48,1
8_49,8_50,1
8_49,9_49,1
8_50,8_51,1
8_50,9_50,1
8_51,8_52,1
8_51,9_51,1
8_52,8_53,1
8_52,9_52,1
8_53,9_53,1
8_55,8_56,1
8_55,9_55,1
8_56,8_57,1
8_56,9_56,1
8_57,8_58,1
8_57,9_57,1
8_58,9_58,1
8_60,8_61,1
8_60,9_60,1
8_61,8_62,1
8_61,9_61,1
8_62,8_63,1
8_62,9_62,1
8_63,8_64,1
8_63,9_63,1
8_64,8_65,1
8_64,9_64,1
8_65,8_66,1
8_65,9_65,1
8_66,8_67,1
8_66,9_66,1
8_67,8_68,1
8_67,9_67,1
8_68,8_69,1
8_68,9_68,1
8_69,8_70,1
8_69,9_69,1
8_70,8_71,1
8_70,9_70,1
8_71,8_72,1
8_71,9_71,1
8_72,8_73,1
8_72,9_72,1
8_73,8_74,1
8_73,9_73,1
8_74,8_75,1
8_74,9_74,1
8_75,8_76,1
8_75,9_75,1
8_76,8_77,1
8_76,9_76,1
8_77,8_78,1
8_77,9_77,1
8_78,9_78,1
9_1,9_2,1
9_1,10_1,1
9_2,9_3,1
9_2,10_2,1
9_3,9_4,1
9_3,10_3,1
9_4,9_5,1
9_4,10_4,1
9_5,9_6,1
9_5,10_5,1
9_6,9_7,1
9_6,10_6,1
9_7,9_8,1
9_7,10_7,1
9_8,9_9,1
9_8,10_8,1
9_9,9_10,1
9_9,10_9,1
9_10,9_11,1
9_10,10_10,1
9_11,9_12,1
9_11,10_11,1
9_12,9_13,1
9_12,10_12,1
9_13,9_14,1
9_13,10_13,1
9_14,9_15,1
9_14,10_14,1
9_15,9_16,1
9_15,10_15,1
9_16,9_17,1
9_16,10_16,1
9_17,9_18,1
9_17,10_17,1
9_18,9_19,1
9_18,10_18,1
9_19,10_19,1
9_21,9_22,1
9_21,10_21,1
9_22,9_23,1
9_22,10_22,1
9_23,9_24,1
9_23,10_23,1
9_24,9_25,1
9_24,10_24,1
9_25,10_25,1
9_27,9_28,1
9_27,10_27,1
9_28,9_29,1
9_28,10_28,1
9_29,9_30,1
9_29,10_29,1
9_30,9_31,1
9_30,10_30,1
9_31,9_32,1
9_31,10_31,1
9_32,9_33,1
9_32,10_32,1
9_33,9_34,1
9_33,10_33,1
9_34,9_35,1
9_34,10_34,1
9_35,9_36,1
9_35,10_35,1
9_36,9_37,1
9_36,10_36,1
9_37,9_38,1
9_37,10_37,1
9_38,9_39,1
9_38,10_38,1
9_39,9_40,1
9_39,10_39,1
9_40,9_41,1
9_40,10_40,1
9_41,9_42,1
9_41,10_41,1
9_42,9_43,1
9_42,10_42,1
9_43,9_44,1
9_43,10_43,1
9_44,9_45,1
9_44,10_44,1
9_45,9_46,1
9_45,10_45,1
9_46,9_47,1
9_46,10_46,1
9_47,9_48,1
9_47,10_47,1
9_48,9_49,1
9_48,10_48,1
9_49,9_50,1
9_49,10_49,1
9_50,9_51,1
9_50,10_50,1
9_51,9_52,1
9_51,10_51,1
9_52,9_53,1
9_52,10_52,1
9_53,10_53,1
9_55,9_56,1
9_55,10_55,1
9_56,9_57,1
9_56,10_56,1
9_57,9_58,1
9_57,10_57,1
9_58,10_58,1
9_60,9_61,1
9_60,10_60,1
9_61,9_62,1
9_61,10_61,1
9_62,9_63,1
9_62,10_62,1
9_63,9_64,1
9_63,10_63,1
9_64,9_65,1
9_64,10_64,1
9_65,9_66,1
9_65,10_65,1
9_66,9_67,1
9_66,10_66,1
9_67,9_68,1
9_67,10_67,1
9_68,9_69,1
9_68,10_68,1
9_69,9_70,1
9_69,10_69,1
9_70,9_71,1
9_70,10_70,1
9_71,9_72,1
9_71,10_71,1
9_72,9_73,1
9_72,10_72,1
9_73,9_74,1
9_73,10_73,1
9_74,9_75,1
9_74,10_74,1
9_75,9_76,1
9_75,10_75,1
9_76,9_77,1
9_76,10_76,1
9_77,9_78,1
9_77,10_77,1
9_78,10_78,1
10_1,10_2,1
10_1,11_1,1
10_2,10_3,1
10_2,11_2,1
10_3,10_4,1
10_3,11_3,1
10_4,10_5,1
10_4,11_4,1
10_5,10_6,1
10_5,11_5,1
10_6,10_7,1
10_6,11_6,1
10_7,10_8,1
10_7,11_7,1
10_8,10_9,1
10_8,11_8,1
10_9,10_10,1
10_9,11_9,1
10_10,10_11,1
10_10,11_10,1
10_11,10_12,1
10_11,11_11,1
10_12,10_13,1
10_12,11_12,1
10_13,10_14,1
10_13,11_13,1
10_14,10_15,1
10_14,11_14,1
10_15,10_16,1
10_15,11_15,1
10_16,10_17,1
10_16,11_16,1
10_17,10_18,1
10_17,11_17,1
10_18,10_19,1
10_18,11_18,1
10_19,10_20,1
10_19,11_19,1
10_20,10_21,1
10_20,11_20,1
10_21,10_22,1
10_21,11_21,1
10_22,10_23,1
10_22,11_22,1
10_23,10_24,1
10_23,11_23,1
10_24,10_25,1
10_24,11_24,1
10_25,11_25,1
10_27,10_28,1
10_27,11_27,1
10_28,10_29,1
10_28,11_28,1
10_29,10_30,1
10_29,11_29,1
10_30,10_31,1
10_30,11_30,1
10_31,10_32,1
10_31,11_31,1
10_32,10_33,1
10_32,11_32,1
10_33,10_34,1
10_33,11_33,1
10_34,10_35,1
10_34,11_34,1
10_35,10_36,1
10_35,11_35,1
10_36,10_37,1
10_36,11_36,1
10_37,10_38,1
