from,to,cost
7_71,8_71,1
7_73,8_73,1
7_75,7_76,1
7_76,7_77,1
7_77,7_78,1
7_78,7_79,1
7_79,8_79,1
8_1,9_1,1
8_3,9_3,1
8_9,9_9,1
8_15,9_15,1
8_17,9_17,1
8_25,9_25,1
8_27,9_27,1
8_29,9_29,1
8_31,9_31,1
8_37,9_37,1
8_39,9_39,1
8_43,9_43,1
8_45,9_45,1
8_47,9_47,1
8_49,9_49,1
8_51,9_51,1
8_53,9_53,1
8_55,9_55,1
8_59,9_59,1
8_63,9_63,1
8_67,9_67,1
8_69,9_69,1
8_71,9_71,1
8_73,9_73,1
8_79,9_79,1
9_1,9_2,1
9_2,9_3,1
9_5,10_5,1
9_7,9_8,1
9_7,10_7,1
9_8,9_9,1
9_9,9_10,1
9_10,9_11,1
9_11,9_12,1
9_12,9_13,1
9_13,10_13,1
9_17,9_18,1
9_18,9_19,1
9_19,9_20,1
9_20,9_21,1
9_21,10_21,1
9_23,10_23,1
9_25,10_25,1
9_29,10_29,1
9_31,10_31,1
9_33,9_34,1
9_33,10_33,1
9_34,9_35,1
9_35,10_35,1
9_37,9_38,1
9_38,9_39,1
9_39,10_39,1
9_41,9_42,1
9_42,9_43,1
9_45,10_45,1
9_47,9_48,1
9_48,9_49,1
9_51,10_51,1
9_53,10_53,1
9_55,10_55,1
9_57,9_58,1
9_57,10_57,1
9_58,9_59,1
9_59,10_59,1
9_61,9_62,1
9_61,10_61,1
9_62,9_63,1
9_65,10_65,1
9_67,10_67,1
9_69,9_70,1
9_70,9_71,1
9_71,9_72,1
9_72,9_73,1
9_75,9_76,1
9_75,10_75,1
9_76,9_77,1
9_77,10_77,1
10_5,11_5,1
10_7,11_7,1
10_13,11_13,1
10_21,11_21,1
10_23,11_23,1
10_25,11_25,1
10_29,11_29,1
10_31,11_31,1
10_33,11_33,1
10_35,11_35,1
10_39,11_39,1
10_45,11_45,1
10_51,11_51,1
10_53,11_53,1
10_55,11_55,1
10_57,11_57,1
10_59,11_59,1
10_61,11_61,1
10_65,11_65,1
10_67,11_67,1
10_75,11_75,1
10_77,11_77,1
11_1,11_2,1
11_2,11_3,1
11_3,11_4,1
11_3,12_3,1
11_4,11_5,1
11_5,12_5,1
11_7,12_7,1
11_9,11_10,1
11_10,11_11,1
11_11,12_11,1
11_13,12_13,1
11_15,11_16,1
11_15,12_15,1
11_16,11_17,1
11_17,11_18,1
11_18,11_19,1
11_19,11_20,1
11_20,11_21,1
11_23,12_23,1
11_25,11_26,1
11_26,11_27,1
11_27,11_28,1
11_27,12_27,1
11_28,11_29,1
11_31,12_31,1
11_33,12_33,1
11_35,12_35,1
11_37,11_38,1
11_37,12_37,1
11_38,11_39,1
11_41,11_42,1
11_41,12_41,1
11_42,11_43,1
11_43,12_43,1
11_45,11_46,1
11_45,12_45,1
11_46,11_47,1
11_47,12_47,1
11_49,11_50,1
11_49,12_49,1
11_50,11_51,1
11_53,11_54,1
11_54,11_55,1
11_57,12_57,1
11_59,12_59,1
11_61,11_62,1
11_62,11_63,1
11_63,11_64,1
11_64,11_65,1
11_65,12_65,1
11_67,11_68,1
11_68,11_69,1
11_69,11_70,1
11_70,11_71,1
11_71,12_71,1
11_73,11_74,1
11_73,12_73,1
11_74,11_75,1
11_77,11_78,1
11_78,11_79,1
11_79,12_79,1
12_3,13_3,1
12_5,13_5,1
12_7,13_7,1
12_11,13_11,1
12_13,13_13,1
12_15,13_15,1
12_23,13_23,1
12_27,13_27,1
12_31,13_31,1
12_33,13_33,1
12_35,13_35,1
12_37,13_37,1
12_41,13_41,1
12_43,13_43,1
12_45,13_45,1
12_47,13_47,1
12_49,13_49,1
12_57,13_57,1
12_59,13_59,1
12_65,13_65,1
12_71,13_71,1
12_73,13_73,1
12_79,13_79,1
13_1,13_2,1
13_1,14_1,1
13_2,13_3,1
13_5,14_5,1
13_7,13_8,1
13_8,13_9,1
13_9,14_9,1
13_11,14_11,1
13_13,13_14,1
13_14,13_15,1
13_17,13_18,1
13_17,14_17,1
13_18,13_19,1
13_19,14_19,1
13_21,13_22,1
13_21,14_21,1
13_22,13_23,1
13_23,14_23,1
13_25,13_26,1
13_25,14_25,1
13_26,13_27,1
13_29,13_30,1
13_29,14_29,1
13_30,13_31,1
13_33,14_33,1
13_35,14_35,1
13_37,14_37,1
13_39,14_39,1
13_41,14_41,1
13_43,13_44,1
13_44,13_45,1
13_49,13_50,1
13_50,13_51,1
13_51,14_51,1
13_53,13_54,1
13_54,13_55,1
13_55,13_56,1
13_56,13_57,1
13_57,14_57,1
13_61,13_62,1
13_61,14_61,1
13_62,13_63,1
13_63,13_64,1
13_64,13_65,1
13_67,13_68,1
13_67,14_67,1
13_68,13_69,1
13_69,13_70,1
13_70,13_71,1
13_71,14_71,1
13_73,13_74,1
13_74,13_75,1
13_75,14_75,1
13_77,14_77,1
13_79,14_79,1
14_1,15_1,1
14_5,15_5,1
14_9,15_9,1
14_11,15_11,1
14_17,15_17,1
14_19,15_19,1
14_21,15_21,1
14_23,15_23,1
14_25,15_25,1
14_29,15_29,1
14_33,15_33,1
14_35,15_35,1
14_37,15_37,1
14_39,15_39,1
14_41,15_41,1
14_51,15_51,1
14_57,15_57,1
14_61,15_61,1
14_67,15_67,1
14_71,15_71,1
14_75,15_75,1
14_77,15_77,1
14_79,15_79,1
15_1,15_2,1
15_1,16_1,1
15_2,15_3,1
15_3,16_3,1
15_5,15_6,1
15_6,15_7,1
15_9,15_10,1
15_10,15_11,1
15_11,15_12,1
15_12,15_13,1
15_13,15_14,1
15_14,15_15,1
15_15,15_16,1
15_16,15_17,1
15_19,16_19,1
15_21,16_21,1
15_23,15_24,1
15_24,15_25,1
15_27,16_27,1
15_29,16_29,1
15_31,15_32,1
15_31,16_31,1
15_32,15_33,1
15_35,16_35,1
15_37,15_38,1
15_38,15_39,1
15_41,15_42,1
15_42,15_43,1
15_43,15_44,1
15_43,16_43,1
15_44,15_45,1
15_45,15_46,1
15_46,15_47,1
15_47,15_48,1
15_47,16_47,1
15_48,15_49,1
15_49,16_49,1
15_51,16_51,1
15_53,15_54,1
15_53,16_53,1
15_54,15_55,1
15_55,16_55,1
15_57,15_58,1
15_58,15_59,1
15_59,15_60,1
15_60,15_61,1
15_61,15_62,1
15_62,15_63,1
15_63,15_64,1
15_64,15_65,1
15_65,16_65,1
15_67,15_68,1
15_68,15_69,1
15_69,16_69,1
15_73,15_74,1
15_73,16_73,1
15_74,15_75,1
15_77,16_77,1
15_79,16_79,1
16_1,17_1,1
16_3,17_3,1
16_19,17_19,1
16_21,17_21,1
16_27,17_27,1
16_29,17_29,1
16_31,17_31,1
16_35,17_35,1
16_43,17_43,1
16_47,17_47,1
16_49,17_49,1
16_51,17_51,1
16_53,17_53,1
16_55,17_55,1
16_65,17_65,1
16_69,17_69,1
16_73,17_73,1
16_77,17_77,1
16_79,17_79,1
17_1,18_1,1
17_3,18_3,1
17_5,17_6,1
17_5,18_5,1
17_6,17_7,1
17_7,17_8,1
17_8,17_9,1
17_9,17_10,1
17_10,17_11,1
17_11,17_12,1
17_12,17_13,1
17_13,17_14,1
17_14,17_15,1
17_15,18_15,1
17_17,17_18,1
17_17,18_17,1
17_18,17_19,1
17_21,17_22,1
17_22,17_23,1
17_23,18_23,1
17_25,17_26,1
17_25,18_25,1
17_26,17_27,1
17_29,18_29,1
17_31,17_32,1
17_32,17_33,1
17_33,18_33,1
17_35,17_36,1
17_36,17_37,1
17_37,17_38,1
17_38,17_39,1
17_39,17_40,1
17_40,17_41,1
17_41,18_41,1
17_43,17_44,1
17_44,17_45,1
17_45,18_45,1
17_47,18_47,1
17_51,18_51,1
17_53,18_53,1
17_55,17_56,1
17_56,17_57,1
17_57,17_58,1
17_58,17_59,1
17_59,18_59,1
17_61,17_62,1
17_61,18_61,1
17_62,17_63,1
17_63,18_63,1
17_65,17_66,1
17_66,17_67,1
17_67,18_67,1
17_69,17_70,1
17_70,17_71,1
17_71,17_72,1
17_72,17_73,1
17_73,18_73,1
17_75,17_76,1
17_75,18_75,1
17_76,17_77,1
17_77,18_77,1
17_79,18_79,1
18_1,19_1,1
18_3,19_3,1
18_5,19_5,1
18_15,19_15,1
18_17,19_17,1
18_23,19_23,1
18_25,19_25,1
18_29,19_29,1
18_33,19_33,1
18_41,19_41,1
18_45,19_45,1
18_47,19_47,1
18_51,18_52,1
18_51,19_51,1
18_52,18_53,1
18_52,19_52,1
18_53,19_53,1
18_59,19_59,1
18_61,19_61,1
18_63,19_63,1
18_67,19_67,1
18_73,19_73,1
18_75,19_75,1
18_77,19_77,1
18_79,19_79,1
19_1,20_1,1
19_3,20_3,1
19_5,19_6,1
19_6,19_7,1
19_7,20_7,1
19_9,19_10,1
19_9,20_9,1
19_10,19_11,1
19_11,19_12,1
19_12,19_13,1
19_13,20_13,1
19_15,19_16,1
19_16,19_17,1
19_19,19_20,1
19_19,20_19,1
19_20,19_21,1
19_21,19_22,1
19_22,19_23,1
19_25,20_25,1
19_27,19_28,1
19_27,20_27,1
19_28,19_29,1
19_29,19_30,1
19_30,19_31,1
19_31,20_31,1
19_33,19_34,1
19_34,19_35,1
19_35,20_35,1
19_37,19_38,1
19_37,20_37,1
19_38,19_39,1
19_41,20_41,1
19_43,19_44,1
19_44,19_45,1
19_47,19_48,1
19_48,19_49,1
19_49,19_50,1
19_50,19_51,1
19_51,19_52,1
19_52,19_53,1
19_55,19_56,1
19_55,20_55,1
19_56,19_57,1
19_59,19_60,1
19_60,19_61,1
19_63,19_64,1
19_64,19_65,1
19_65,19_66,1
19_66,19_67,1
19_67,19_68,1
19_68,19_69,1
19_69,19_70,1
19_70,19_71,1
19_71,20_71,1
19_73,19_74,1
19_74,19_75,1
19_77,20_77,1
19_79,20_79,1
20_1,21_1,1
20_3,21_3,1
20_7,21_7,1
20_9,21_9,1
20_13,21_13,1
20_19,21_19,1
20_25,21_25,1
20_27,21_27,1
20_31,21_31,1
20_35,21_35,1
20_37,21_37,1
20_41,21_41,1
20_55,21_55,1
20_71,21_71,1
20_77,21_77,1
20_79,21_79,1
21_1,22_1,1
21_3,21_4,1
21_4,21_5,1
21_5,22_5,1
21_7,22_7,1
21_9,21_10,1
21_10,21_11,1
21_11,22_11,1
21_13,22_13,1
21_15,21_16,1
21_15,22_15,1
21_16,21_17,1
21_17,22_17,1
21_19,22_19,1
21_21,21_22,1
21_21,22_21,1
21_22,21_23,1
21_23,21_24,1
21_24,21_25,1
21_25,22_25,1
21_27,22_27,1
21_29,22_29,1
21_31,22_31,1
21_33,22_33,1
21_35,22_35,1
21_37,21_38,1
21_38,21_39,1
21_39,22_39,1
21_41,21_42,1
21_42,21_43,1
21_43,21_44,1
21_44,21_45,1
21_45,21_46,1
21_46,21_47,1
21_47,21_48,1
21_48,21_49,1
21_49,21_50,1
21_50,21_51,1
21_51,22_51,1
21_53,21_54,1
21_53,22_53,1
21_54,21_55,1
21_55,22_55,1
21_57,21_58,1
21_57,22_57,1
21_58,21_59,1
21_59,21_60,1
21_60,21_61,1
21_61,21_62,1
21_61,22_61,1
21_62,21_63,1
21_63,22_63,1
21_65,21_66,1
21_65,22_65,1
21_66,21_67,1
21_67,21_68,1
21_68,21_69,1
21_69,22_69,1
21_71,22_71,1
21_73,21_74,1
21_73,22_73,1
21_74,21_75,1
21_75,21_76,1
21_76,21_77,1
21_79,22_79,1
22_1,23_1,1
22_5,23_5,1
22_7,23_7,1
22_11,23_11,1
22_13,23_13,1
22_15,23_15,1
22_17,23_17,1
22_19,23_19,1
22_21,23_21,1
22_25,23_25,1
22_27,23_27,1
22_29,23_29,1
22_31,23_31,1
22_33,23_33,1
22_35,23_35,1
22_39,23_39,1
22_51,23_51,1
22_53,23_53,1
22_55,23_55,1
22_57,23_57,1
22_61,23_61,1
22_63,23_63,1
22_65,23_65,1
22_69,23_69,1
22_71,23_71,1
22_73,23_73,1
22_79,23_79,1
23_1,24_1,1
23_3,23_4,1
23_3,24_3,1
23_4,23_5,1
23_7,23_8,1
23_8,23_9,1
23_9,24_9,1
23_11,24_11,1
23_13,23_14,1
23_14,23_15,1
23_19,24_19,1
23_21,23_22,1
23_22,23_23,1
23_25,24_25,1
23_27,24_27,1
23_29,24_29,1
23_31,23_32,1
23_32,23_33,1
23_33,24_33,1
23_35,23_36,1
23_36,23_37,1
23_37,24_37,1
23_39,23_40,1
23_39,24_39,1
23_40,23_41,1
23_41,23_42,1
23_42,23_43,1
23_43,24_43,1
23_45,23_46,1
23_45,24_45,1
23_46,23_47,1
23_47,23_48,1
23_48,23_49,1
23_49,24_49,1
23_51,24_51,1
23_53,24_53,1
23_57,24_57,1
23_59,24_59,1
23_61,24_61,1
23_63,24_63,1
23_65,24_65,1
23_67,24_67,1
23_69,23_70,1
23_70,23_71,1
23_73,23_74,1
23_74,23_75,1
23_75,23_76,1
23_76,23_77,1
23_77,24_77,1
23_79,24_79,1
24_1,25_1,1
24_3,25_3,1
24_9,25_9,1
24_11,25_11,1
24_19,25_19,1
24_25,25_25,1
24_27,25_27,1
24_29,25_29,1
24_33,25_33,1
24_37,25_37,1
24_39,25_39,1
24_43,25_43,1
24_45,25_45,1
24_49,25_49,1
24_51,25_51,1
24_53,25_53,1
24_57,25_57,1
24_59,25_59,1
24_61,25_61,1
24_63,25_63,1
24_65,25_65,1
24_67,25_67,1
24_77,25_77,1
24_79,25_79,1
25_1,26_1,1
25_3,25_4,1
25_4,25_5,1
25_5,25_6,1
25_5,26_5,1
25_6,25_7,1
25_9,26_9,1
25_11,26_11,1
25_13,25_14,1
25_13,26_13,1
25_14,25_15,1
25_15,26_15,1
25_17,25_18,1
25_17,26_17,1
25_18,25_19,1
25_21,25_22,1
25_21,26_21,1
25_22,25_23,1
25_23,26_23,1
25_25,26_25,1
25_27,26_27,1
25_29,25_30,1
25_30,25_31,1
25_31,25_32,1
25_32,25_33,1
25_33,25_34,1
25_34,25_35,1
25_37,26_37,1
25_39,26_39,1
25_41,25_42,1
25_42,25_43,1
25_43,25_44,1
25_44,25_45,1
25_47,25_48,1
25_47,26_47,1
25_48,25_49,1
25_51,26_51,1
25_53,25_54,1
25_54,25_55,1
25_55,25_56,1
25_56,25_57,1
25_57,26_57,1
25_59,26_59,1
25_61,26_61,1
25_65,26_65,1
25_67,25_68,1
25_67,26_67,1
25_68,25_69,1
25_71,25_72,1
25_71,26_71,1
25_72,25_73,1
25_73,26_73,1
25_75,25_76,1
25_75,26_75,1
25_76,25_77,1
25_79,26_79,1
26_1,27_1,1
26_5,27_5,1
26_9,27_9,1
26_11,27_11,1
26_13,27_13,1
26_15,27_15,1
26_17,27_17,1
26_21,27_21,1
26_23,27_23,1
26_25,27_25,1
26_27,27_27,1
26_37,27_37,1
26_39,27_39,1
26_47,27_47,1
26_51,27_51,1
26_57,27_57,1
26_59,27_59,1
26_61,27_61,1
26_65,27_65,1
26_67,27_67,1
26_71,27_71,1
26_73,27_73,1
26_75,27_75,1
26_79,27_79,1
27_1,27_2,1
27_2,27_3,1
27_3,28_3,1
27_5,27_6,1
27_6,27_7,1
27_7,27_8,1
27_8,27_9,1
27_11,28_11,1
27_13,28_13,1
27_15,27_16,1
27_16,27_17,1
27_19,27_20,1
27_20,27_21,1
27_21,28_21,1
27_23,28_23,1
27_25,28_25,1
27_27,27_28,1
27_28,27_29,1
27_29,27_30,1
27_30,27_31,1
27_31,27_32,1
27_32,27_33,1
27_33,28_33,1
27_35,27_36,1
27_35,28_35,1
27_36,27_37,1
27_39,27_40,1
27_39,28_39,1
27_40,27_41,1
27_41,28_41,1
27_43,27_44,1
27_43,28_43,1
27_44,27_45,1
27_45,28_45,1
27_47,27_48,1
27_48,27_49,1
27_49,28_49,1
27_51,27_52,1
27_52,27_53,1
27_53,27_54,1
27_54,27_55,1
27_55,28_55,1
27_57,27_58,1
27_57,28_57,1
27_58,27_59,1
27_61,28_61,1
27_63,27_64,1
27_63,28_63,1
27_64,27_65,1
27_67,27_68,1
27_68,27_69,1
27_69,27_70,1
27_70,27_71,1
27_73,27_74,1
27_73,28_73,1
27_74,27_75,1
27_75,27_76,1
27_76,27_77,1
27_79,28_79,1
28_3,29_3,1
28_11,29_11,1
28_13,29_13,1
28_21,29_21,1
28_23,29_23,1
28_25,29_25,1
28_33,29_33,1
28_35,29_35,1
28_39,29_39,1
28_41,29_41,1
28_43,29_43,1
28_45,29_45,1
28_49,29_49,1
28_55,29_55,1
28_57,29_57,1
28_61,29_61,1
28_63,29_63,1
28_73,29_73,1
28_79,29_79,1
29_1,29_2,1
29_1,30_1,1
29_2,29_3,1
29_5,29_6,1
29_6,29_7,1
29_7,29_8,1
29_8,29_9,1
29_9,29_10,1
29_10,29_11,1
29_11,29_12,1
29_11,30_11,1
29_12,29_13,1
29_13,29_14,1
29_14,29_15,1
29_15,29_16,1
29_16,29_17,1
29_17,29_18,1
29_18,29_19,1
29_19,29_20,1
29_19,30_19,1
29_20,29_21,1
29_23,29_24,1
29_24,29_25,1
29_25,29_26,1
29_26,29_27,1
29_27,29_28,1
29_28,29_29,1
29_29,29_30,1
29_29,30_29,1
29_30,29_31,1
29_33,30_33,1
29_35,29_36,1
29_36,29_37,1
29_37,30_37,1
29_41,30_41,1
29_43,30_43,1
29_45,29_46,1
29_46,29_47,1
29_47,30_47,1
29_49,30_49,1
29_51,29_52,1
29_51,30_51,1
29_52,29_53,1
29_53,30_53,1
29_55,30_55,1
29_59,29_60,1
29_59,30_59,1
29_60,29_61,1
29_63,29_64,1
29_64,29_65,1
29_65,30_65,1
29_67,29_68,1
29_67,30_67,1
29_68,29_69,1
29_69,29_70,1
29_70,29_71,1
29_71,30_71,1
29_75,29_76,1
29_75,30_75,1
29_76,29_77,1
29_77,30_77,1
29_79,30_79,1
30_1,31_1,1
30_11,31_11,1
30_19,31_19,1
30_29,31_29,1
30_33,31_33,1
30_37,31_37,1
30_41,31_41,1
30_43,31_43,1
30_47,31_47,1
30_49,31_49,1
30_51,31_51,1
30_53,31_53,1
30_55,31_55,1
30_59,31_59,1
30_65,31_65,1
30_67,31_67,1
30_71,31_71,1
30_75,31_75,1
30_77,31_77,1
30_79,31_79,1
31_1,32_1,1
31_3,31_4,1
31_4,31_5,1
31_5,31_6,1
31_5,32_5,1
31_6,31_7,1
31_7,31_8,1
31_8,31_9,1
31_9,32_9,1
31_11,31_12,1
31_12,31_13,1
31_15,31_16,1
31_15,32_15,1
31_16,31_17,1
31_17,32_17,1
31_21,31_22,1
31_21,32_21,1
31_22,31_23,1
31_23,31_24,1
31_24,31_25,1
31_25,31_26,1
31_26,31_27,1
31_27,32_27,1
31_29,32_29,1
31_31,31_32,1
31_31,32_31,1
31_32,31_33,1
31_33,31_34,1
31_34,31_35,1
31_37,31_38,1
31_38,31_39,1
31_39,31_40,1
31_40,31_41,1
31_45,31_46,1
31_45,32_45,1
31_46,31_47,1
31_49,31_50,1
31_50,31_51,1
31_51,32_51,1
31_55,31_56,1
31_56,31_57,1
31_57,32_57,1
31_59,31_60,1
31_60,31_61,1
31_61,31_62,1
31_61,32_61,1
31_62,31_63,1
31_63,32_63,1
31_65,32_65,1
31_67,31_68,1
31_67,32_67,1
31_68,31_69,1
31_69,32_69,1
31_71,31_72,1
31_72,31_73,1
31_73,31_74,1
31_73,32_73,1
31_74,31_75,1
31_77,31_78,1
31_78,31_79,1
32_1,33_1,1
32_5,33_5,1
32_9,33_9,1
32_15,33_15,1
32_17,33_17,1
32_21,33_21,1
32_27,33_27,1
32_29,33_29,1
32_31,33_31,1
32_45,33_45,1
32_51,33_51,1
32_57,33_57,1
32_61,33_61,1
32_63,33_63,1
32_65,33_65,1
32_67,33_67,1
32_69,33_69,1
32_73,33_73,1
33_1,33_2,1
33_2,33_3,1
33_3,34_3,1
33_5,34_5,1
33_7,34_7,1
33_9,33_10,1
33_10,33_11,1
33_11,33_12,1
33_12,33_13,1
33_13,34_13,1
33_15,34_15,1
33_17,34_17,1
33_19,33_20,1
33_19,34_19,1
33_20,33_21,1
33_23,33_24,1
33_23,34_23,1
33_24,33_25,1
33_25,33_26,1
33_26,33_27,1
33_29,34_29,1
33_31,33_32,1
33_32,33_33,1
33_33,33_34,1
33_34,33_35,1
33_35,33_36,1
33_36,33_37,1
33_37,33_38,1
33_37,34_37,1
33_38,33_39,1
33_39,34_39,1
33_41,33_42,1
33_41,34_41,1
33_42,33_43,1
33_43,33_44,1
33_43,34_43,1
33_44,33_45,1
33_47,33_48,1
33_47,34_47,1
33_48,33_49,1
33_49,33_50,1
33_50,33_51,1
33_53,33_54,1
33_53,34_53,1
33_54,33_55,1
33_55,34_55,1
33_57,34_57,1
33_59,33_60,1
33_59,34_59,1
33_60,33_61,1
33_63,34_63,1
33_65,34_65,1
33_67,34_67,1
33_69,33_70,1
33_70,33_71,1
33_71,34_71,1
33_75,33_76,1
33_75,34_75,1
33_76,33_77,1
33_77,33_78,1
33_78,33_79,1
33_79,34_79,1
34_3,35_3,1
34_5,35_5,1
34_7,35_7,1
34_13,35_13,1
34_15,35_15,1
34_17,35_17,1
34_19,35_19,1
34_23,35_23,1
34_29,35_29,1
34_37,35_37,1
34_39,35_39,1
34_41,35_41,1
34_43,35_43,1
34_47,35_47,1
34_53,35_53,1
34_55,35_55,1
34_57,35_57,1
34_59,35_59,1
34_63,35_63,1
34_65,35_65,1
34_67,35_67,1
34_71,35_71,1
34_75,35_75,1
34_79,35_79,1
35_1,36_1,1
35_3,35_4,1
35_4,35_5,1
35_7,35_8,1
35_7,36_7,1
35_8,35_9,1
35_9,35_10,1
